account_id,district_id,frequency,account_open_date,client_id
944,70,MONTHLY STATEMENTS,3/8/1993,1138
1545,1,MONTHLY STATEMENTS,3/8/1993,1874
2453,1,MONTHLY STATEMENTS,3/8/1993,2962
3734,43,MONTHLY STATEMENTS,3/8/1993,4506
3935,23,MONTHLY STATEMENTS,3/8/1993,4745
396,21,MONTHLY STATEMENTS,3/8/1993,478
2694,7,MONTHLY STATEMENTS,3/8/1993,3251
4596,74,MONTHLY STATEMENTS,3/9/1993,5539
2489,72,MONTHLY STATEMENTS,3/9/1993,3005
2895,19,MONTHLY STATEMENTS,3/9/1993,3499
317,76,MONTHLY STATEMENTS,3/10/1993,387
2555,53,MONTHLY STATEMENTS,3/10/1993,3085
494,60,MONTHLY STATEMENTS,3/11/1993,593
2219,60,MONTHLY STATEMENTS,3/11/1993,2688
2581,72,MONTHLY STATEMENTS,3/11/1993,3115
112,6,MONTHLY STATEMENTS,3/12/1993,134
3674,38,MONTHLY STATEMENTS,3/12/1993,4428
2039,44,MONTHLY STATEMENTS,3/12/1993,2475
2712,9,MONTHLY STATEMENTS,3/12/1993,3272
395,1,MONTHLY STATEMENTS,3/12/1993,476
2974,9,MONTHLY STATEMENTS,3/13/1993,3591
123,21,MONTHLY STATEMENTS,3/13/1993,147
9640,1,MONTHLY STATEMENTS,3/13/1993,11866
3108,53,MONTHLY STATEMENTS,3/14/1993,3758
2508,34,MONTHLY STATEMENTS,3/14/1993,3028
2458,40,WEEKLY STATEMENTS,3/14/1993,2968
588,66,MONTHLY STATEMENTS,3/14/1993,706
7231,10,MONTHLY STATEMENTS,3/14/1993,8726
6701,49,WEEKLY STATEMENTS,3/15/1993,8091
3883,72,MONTHLY STATEMENTS,3/15/1993,4680
222,37,MONTHLY STATEMENTS,3/15/1993,267
2497,65,MONTHLY STATEMENTS,3/16/1993,3015
1372,1,MONTHLY STATEMENTS,3/16/1993,1660
3835,50,MONTHLY STATEMENTS,3/16/1993,4622
7445,64,MONTHLY STATEMENTS,3/18/1993,9226
2527,38,MONTHLY STATEMENTS,3/19/1993,3049
425,9,MONTHLY STATEMENTS,3/19/1993,511
860,1,MONTHLY STATEMENTS,3/19/1993,1037
6034,6,WEEKLY STATEMENTS,3/19/1993,7291
11065,11,MONTHLY STATEMENTS,3/19/1993,13603
9883,1,MONTHLY STATEMENTS,3/19/1993,12163
115,68,MONTHLY STATEMENTS,3/19/1993,138
1189,59,MONTHLY STATEMENTS,3/19/1993,1433
3675,64,MONTHLY STATEMENTS,3/20/1993,4429
3069,66,MONTHLY STATEMENTS,3/20/1993,3711
2762,19,MONTHLY STATEMENTS,3/20/1993,3335
892,70,MONTHLY STATEMENTS,3/20/1993,1075
1535,46,MONTHLY STATEMENTS,3/20/1993,1861
2618,60,MONTHLY STATEMENTS,3/21/1993,3159
2651,2,MONTHLY STATEMENTS,3/21/1993,3197
5442,34,MONTHLY STATEMENTS,3/22/1993,6567
1787,30,WEEKLY STATEMENTS,3/22/1993,2166
1397,17,MONTHLY STATEMENTS,3/22/1993,1691
3785,10,MONTHLY STATEMENTS,3/24/1993,4563
623,1,MONTHLY STATEMENTS,3/24/1993,748
8260,31,MONTHLY STATEMENTS,3/24/1993,10198
3678,1,MONTHLY STATEMENTS,3/24/1993,4433
3001,1,MONTHLY STATEMENTS,3/24/1993,3624
655,53,MONTHLY STATEMENTS,3/24/1993,786
4093,1,MONTHLY STATEMENTS,3/25/1993,4930
3260,68,MONTHLY STATEMENTS,3/25/1993,3944
2528,65,MONTHLY STATEMENTS,3/25/1993,3051
2011,75,MONTHLY STATEMENTS,3/25/1993,2443
1721,68,MONTHLY STATEMENTS,3/25/1993,2087
1332,59,MONTHLY STATEMENTS,3/25/1993,1613
1402,74,MONTHLY STATEMENTS,3/26/1993,1697
3283,68,MONTHLY STATEMENTS,3/26/1993,3974
3781,31,MONTHLY STATEMENTS,3/26/1993,4559
7203,71,MONTHLY STATEMENTS,3/26/1993,8692
1065,72,MONTHLY STATEMENTS,3/27/1993,1278
3076,54,MONTHLY STATEMENTS,3/27/1993,3719
4347,1,MONTHLY STATEMENTS,3/27/1993,5237
1157,7,MONTHLY STATEMENTS,3/27/1993,1391
9403,1,WEEKLY STATEMENTS,3/27/1993,11574
1874,9,MONTHLY STATEMENTS,3/27/1993,2274
1115,34,MONTHLY STATEMENTS,3/27/1993,1337
3586,59,MONTHLY STATEMENTS,3/27/1993,4328
62,47,MONTHLY STATEMENTS,3/28/1993,72
1771,69,MONTHLY STATEMENTS,3/28/1993,2147
5483,13,MONTHLY STATEMENTS,3/28/1993,6619
8330,48,MONTHLY STATEMENTS,3/28/1993,10287
187,5,MONTHLY STATEMENTS,3/28/1993,227
423,12,MONTHLY STATEMENTS,3/28/1993,509
6425,31,MONTHLY STATEMENTS,3/29/1993,7753
2493,62,MONTHLY STATEMENTS,3/29/1993,3009
2896,29,MONTHLY STATEMENTS,3/30/1993,3500
2245,29,MONTHLY STATEMENTS,3/30/1993,2719
3923,52,MONTHLY STATEMENTS,3/30/1993,4731
1898,70,MONTHLY STATEMENTS,4/1/1993,2305
3367,1,MONTHLY STATEMENTS,4/1/1993,4071
3391,74,MONTHLY STATEMENTS,4/1/1993,4100
8519,23,MONTHLY STATEMENTS,4/2/1993,10510
1780,1,MONTHLY STATEMENTS,4/2/1993,2157
3915,65,MONTHLY STATEMENTS,4/2/1993,4721
3980,75,MONTHLY STATEMENTS,4/3/1993,4799
4350,63,MONTHLY STATEMENTS,4/4/1993,5241
686,41,MONTHLY STATEMENTS,4/4/1993,823
362,15,MONTHLY STATEMENTS,4/4/1993,440
299,77,MONTHLY STATEMENTS,4/5/1993,364
2488,5,MONTHLY STATEMENTS,4/6/1993,3003
2985,71,MONTHLY STATEMENTS,4/6/1993,3605
385,5,MONTHLY STATEMENTS,4/7/1993,465
2817,56,MONTHLY STATEMENTS,4/7/1993,3404
2056,58,MONTHLY STATEMENTS,4/7/1993,2495
2002,1,MONTHLY STATEMENTS,4/8/1993,2432
748,10,MONTHLY STATEMENTS,4/8/1993,896
220,72,MONTHLY STATEMENTS,4/9/1993,265
1422,68,MONTHLY STATEMENTS,4/9/1993,1724
1147,44,MONTHLY STATEMENTS,4/10/1993,1380
3788,70,MONTHLY STATEMENTS,4/10/1993,4568
1891,32,MONTHLY STATEMENTS,4/10/1993,2294
1239,1,MONTHLY STATEMENTS,4/10/1993,1495
8321,77,MONTHLY STATEMENTS,4/12/1993,10275
3213,51,MONTHLY STATEMENTS,4/12/1993,3886
2838,3,WEEKLY STATEMENTS,4/13/1993,3430
3644,38,MONTHLY STATEMENTS,4/13/1993,4394
4318,33,WEEKLY STATEMENTS,4/13/1993,5200
2648,51,MONTHLY STATEMENTS,4/13/1993,3194
2313,26,WEEKLY STATEMENTS,4/13/1993,2799
5428,24,MONTHLY STATEMENTS,4/14/1993,6551
7123,64,STATEMENTS AFTER TRANSACTION,4/14/1993,8598
279,39,MONTHLY STATEMENTS,4/14/1993,336
104,37,MONTHLY STATEMENTS,4/15/1993,125
497,55,MONTHLY STATEMENTS,4/15/1993,597
1152,45,MONTHLY STATEMENTS,4/15/1993,1385
83,26,MONTHLY STATEMENTS,4/16/1993,98
2008,52,MONTHLY STATEMENTS,4/16/1993,2438
3327,45,MONTHLY STATEMENTS,4/16/1993,4021
5740,43,MONTHLY STATEMENTS,4/16/1993,6944
8132,5,WEEKLY STATEMENTS,4/17/1993,10046
10738,45,WEEKLY STATEMENTS,4/17/1993,13201
2216,74,MONTHLY STATEMENTS,4/17/1993,2684
1815,66,MONTHLY STATEMENTS,4/17/1993,2200
2823,57,MONTHLY STATEMENTS,4/18/1993,3412
4321,47,MONTHLY STATEMENTS,4/18/1993,5204
1773,33,MONTHLY STATEMENTS,4/19/1993,2149
7454,4,MONTHLY STATEMENTS,4/19/1993,9236
188,54,MONTHLY STATEMENTS,4/20/1993,228
10973,18,WEEKLY STATEMENTS,4/20/1993,13490
2599,48,MONTHLY STATEMENTS,4/20/1993,3135
1166,11,MONTHLY STATEMENTS,4/21/1993,1404
504,73,MONTHLY STATEMENTS,4/21/1993,606
1518,67,MONTHLY STATEMENTS,4/21/1993,1841
2189,75,MONTHLY STATEMENTS,4/22/1993,2650
6040,1,MONTHLY STATEMENTS,4/22/1993,7299
2876,52,MONTHLY STATEMENTS,4/22/1993,3476
1505,69,MONTHLY STATEMENTS,4/23/1993,1824
6897,48,MONTHLY STATEMENTS,4/23/1993,8327
4377,28,MONTHLY STATEMENTS,4/24/1993,5275
717,75,MONTHLY STATEMENTS,4/24/1993,859
9707,70,MONTHLY STATEMENTS,4/24/1993,11947
2814,72,MONTHLY STATEMENTS,4/25/1993,3399
3068,59,MONTHLY STATEMENTS,4/25/1993,3710
1476,61,MONTHLY STATEMENTS,4/26/1993,1789
897,38,MONTHLY STATEMENTS,4/26/1993,1080
977,1,MONTHLY STATEMENTS,4/26/1993,1178
2639,17,MONTHLY STATEMENTS,4/26/1993,3185
1032,11,MONTHLY STATEMENTS,4/26/1993,1239
928,20,MONTHLY STATEMENTS,4/26/1993,1117
168,31,MONTHLY STATEMENTS,4/27/1993,203
2175,1,MONTHLY STATEMENTS,4/27/1993,2633
10105,55,MONTHLY STATEMENTS,4/28/1993,12432
1392,60,MONTHLY STATEMENTS,4/28/1993,1685
3697,45,MONTHLY STATEMENTS,4/29/1993,4458
5313,40,MONTHLY STATEMENTS,4/29/1993,6417
2222,47,MONTHLY STATEMENTS,5/1/1993,2691
2641,7,MONTHLY STATEMENTS,5/2/1993,3187
5423,15,MONTHLY STATEMENTS,5/2/1993,6546
2609,73,MONTHLY STATEMENTS,5/3/1993,3148
5472,1,MONTHLY STATEMENTS,5/4/1993,6604
2932,72,MONTHLY STATEMENTS,5/4/1993,3540
4254,70,MONTHLY STATEMENTS,5/4/1993,5127
3965,31,MONTHLY STATEMENTS,5/4/1993,4783
10656,8,MONTHLY STATEMENTS,5/5/1993,13102
887,1,MONTHLY STATEMENTS,5/5/1993,1068
4743,64,MONTHLY STATEMENTS,5/5/1993,5722
1048,35,MONTHLY STATEMENTS,5/5/1993,1257
1671,6,MONTHLY STATEMENTS,5/5/1993,2029
1236,19,MONTHLY STATEMENTS,5/5/1993,1491
1822,30,MONTHLY STATEMENTS,5/5/1993,2209
3316,28,MONTHLY STATEMENTS,5/6/1993,4009
2037,20,MONTHLY STATEMENTS,5/6/1993,2473
10079,62,MONTHLY STATEMENTS,5/6/1993,12396
3999,35,MONTHLY STATEMENTS,5/6/1993,4821
551,77,MONTHLY STATEMENTS,5/7/1993,664
1200,33,MONTHLY STATEMENTS,5/7/1993,1449
1161,66,MONTHLY STATEMENTS,5/8/1993,1397
5372,48,MONTHLY STATEMENTS,5/8/1993,6485
3050,60,MONTHLY STATEMENTS,5/8/1993,3687
1784,59,MONTHLY STATEMENTS,5/8/1993,2161
1603,1,MONTHLY STATEMENTS,5/9/1993,1944
1887,68,MONTHLY STATEMENTS,5/9/1993,2290
1644,1,MONTHLY STATEMENTS,5/9/1993,1993
1658,73,MONTHLY STATEMENTS,5/10/1993,2010
44,32,MONTHLY STATEMENTS,5/10/1993,52
1039,70,WEEKLY STATEMENTS,5/10/1993,1246
1071,68,WEEKLY STATEMENTS,5/10/1993,1286
2410,54,MONTHLY STATEMENTS,5/11/1993,2911
2523,10,MONTHLY STATEMENTS,5/11/1993,3045
790,54,MONTHLY STATEMENTS,5/11/1993,946
2583,62,MONTHLY STATEMENTS,5/11/1993,3117
1782,8,MONTHLY STATEMENTS,5/12/1993,2159
751,3,MONTHLY STATEMENTS,5/12/1993,901
2061,24,MONTHLY STATEMENTS,5/12/1993,2500
8261,13,MONTHLY STATEMENTS,5/12/1993,10200
2321,35,MONTHLY STATEMENTS,5/13/1993,2808
1334,74,MONTHLY STATEMENTS,5/14/1993,1615
3649,54,MONTHLY STATEMENTS,5/14/1993,4400
555,24,MONTHLY STATEMENTS,5/15/1993,668
3173,39,MONTHLY STATEMENTS,5/15/1993,3837
863,71,MONTHLY STATEMENTS,5/16/1993,1040
3181,42,MONTHLY STATEMENTS,5/16/1993,3846
3210,1,MONTHLY STATEMENTS,5/17/1993,3883
489,16,MONTHLY STATEMENTS,5/17/1993,588
947,59,MONTHLY STATEMENTS,5/17/1993,1142
3284,64,MONTHLY STATEMENTS,5/17/1993,3975
1610,52,MONTHLY STATEMENTS,5/17/1993,1952
4225,55,MONTHLY STATEMENTS,5/18/1993,5093
1412,64,MONTHLY STATEMENTS,5/18/1993,1711
1937,36,MONTHLY STATEMENTS,5/18/1993,2353
991,39,MONTHLY STATEMENTS,5/18/1993,1195
1180,20,MONTHLY STATEMENTS,5/19/1993,1421
2758,70,MONTHLY STATEMENTS,5/19/1993,3331
2711,58,MONTHLY STATEMENTS,5/19/1993,3271
1652,74,MONTHLY STATEMENTS,5/20/1993,2002
3099,70,MONTHLY STATEMENTS,5/20/1993,3748
11111,1,MONTHLY STATEMENTS,5/20/1993,13657
9591,74,MONTHLY STATEMENTS,5/20/1993,11804
9828,11,MONTHLY STATEMENTS,5/20/1993,12095
5385,44,WEEKLY STATEMENTS,5/21/1993,6499
23,30,MONTHLY STATEMENTS,5/22/1993,29
2645,54,MONTHLY STATEMENTS,5/22/1993,3191
2991,19,MONTHLY STATEMENTS,5/22/1993,3612
3469,76,MONTHLY STATEMENTS,5/22/1993,4192
1851,55,MONTHLY STATEMENTS,5/23/1993,2246
3844,67,MONTHLY STATEMENTS,5/23/1993,4634
1442,23,MONTHLY STATEMENTS,5/23/1993,1750
3064,40,MONTHLY STATEMENTS,5/23/1993,3705
3558,4,MONTHLY STATEMENTS,5/23/1993,4293
1534,1,MONTHLY STATEMENTS,5/24/1993,1860
334,1,MONTHLY STATEMENTS,5/24/1993,408
1786,1,MONTHLY STATEMENTS,5/25/1993,2164
1272,40,WEEKLY STATEMENTS,5/25/1993,1535
2436,67,MONTHLY STATEMENTS,5/25/1993,2942
3796,53,MONTHLY STATEMENTS,5/25/1993,4576
119,27,MONTHLY STATEMENTS,5/25/1993,143
3063,72,MONTHLY STATEMENTS,5/26/1993,3704
18,43,WEEKLY STATEMENTS,5/26/1993,24
11320,44,MONTHLY STATEMENTS,5/26/1993,13915
3888,39,MONTHLY STATEMENTS,5/27/1993,4686
1584,30,MONTHLY STATEMENTS,5/27/1993,1919
5546,43,MONTHLY STATEMENTS,5/28/1993,6698
2029,55,MONTHLY STATEMENTS,5/29/1993,2464
10911,1,WEEKLY STATEMENTS,5/29/1993,13412
2467,33,MONTHLY STATEMENTS,5/29/1993,2978
2962,1,MONTHLY STATEMENTS,5/30/1993,3576
165,25,MONTHLY STATEMENTS,6/1/1993,199
1617,45,MONTHLY STATEMENTS,6/1/1993,1961
327,54,MONTHLY STATEMENTS,6/2/1993,399
2068,21,MONTHLY STATEMENTS,6/2/1993,2507
4448,60,MONTHLY STATEMENTS,6/2/1993,5366
640,32,MONTHLY STATEMENTS,6/2/1993,768
510,1,WEEKLY STATEMENTS,6/2/1993,613
2534,61,MONTHLY STATEMENTS,6/3/1993,3059
1018,7,MONTHLY STATEMENTS,6/3/1993,1222
1285,65,MONTHLY STATEMENTS,6/4/1993,1555
3670,27,MONTHLY STATEMENTS,6/4/1993,4423
1743,51,MONTHLY STATEMENTS,6/4/1993,2114
3072,8,MONTHLY STATEMENTS,6/5/1993,3714
2146,31,MONTHLY STATEMENTS,6/5/1993,2596
4576,27,MONTHLY STATEMENTS,6/5/1993,5517
3258,53,MONTHLY STATEMENTS,6/5/1993,3942
2176,67,MONTHLY STATEMENTS,6/6/1993,2635
8934,51,MONTHLY STATEMENTS,6/6/1993,11008
1999,70,MONTHLY STATEMENTS,6/6/1993,2429
2741,15,MONTHLY STATEMENTS,6/7/1993,3308
