,series,year,month,count,rate,date
66,Government,2005,7,683,3.3,2005-07-01 07:00:00+00:00
67,Government,2005,8,664,3.2,2005-08-01 07:00:00+00:00
68,Government,2005,9,568,2.7,2005-09-01 07:00:00+00:00
69,Government,2005,10,502,2.4,2005-10-01 07:00:00+00:00
70,Government,2005,11,494,2.4,2005-11-01 08:00:00+00:00
71,Government,2005,12,393,1.9,2005-12-01 08:00:00+00:00
72,Government,2006,1,457,2.2,2006-01-01 08:00:00+00:00
73,Government,2006,2,472,2.3,2006-02-01 08:00:00+00:00
74,Government,2006,3,461,2.2,2006-03-01 08:00:00+00:00
75,Government,2006,4,414,2.0,2006-04-01 08:00:00+00:00
76,Government,2006,5,429,2.1,2006-05-01 07:00:00+00:00
77,Government,2006,6,578,2.8,2006-06-01 07:00:00+00:00
78,Government,2006,7,659,3.2,2006-07-01 07:00:00+00:00
79,Government,2006,8,595,2.9,2006-08-01 07:00:00+00:00
80,Government,2006,9,396,1.9,2006-09-01 07:00:00+00:00
81,Government,2006,10,424,2.0,2006-10-01 07:00:00+00:00
82,Government,2006,11,400,1.9,2006-11-01 08:00:00+00:00
83,Government,2006,12,395,1.9,2006-12-01 08:00:00+00:00
84,Government,2007,1,476,2.2,2007-01-01 08:00:00+00:00
85,Government,2007,2,405,1.9,2007-02-01 08:00:00+00:00
86,Government,2007,3,419,1.9,2007-03-01 08:00:00+00:00
87,Government,2007,4,408,1.9,2007-04-01 07:00:00+00:00
88,Government,2007,5,428,1.9,2007-05-01 07:00:00+00:00
89,Government,2007,6,572,2.7,2007-06-01 07:00:00+00:00
90,Government,2007,7,704,3.3,2007-07-01 07:00:00+00:00
91,Government,2007,8,695,3.2,2007-08-01 07:00:00+00:00
92,Government,2007,9,525,2.4,2007-09-01 07:00:00+00:00
93,Government,2007,10,492,2.3,2007-10-01 07:00:00+00:00
94,Government,2007,11,482,2.2,2007-11-01 07:00:00+00:00
95,Government,2007,12,451,2.1,2007-12-01 08:00:00+00:00
96,Government,2008,1,471,2.2,2008-01-01 08:00:00+00:00
97,Government,2008,2,372,1.7000000000000002,2008-02-01 08:00:00+00:00
98,Government,2008,3,425,1.9,2008-03-01 08:00:00+00:00
99,Government,2008,4,373,1.7000000000000002,2008-04-01 07:00:00+00:00
100,Government,2008,5,461,2.1,2008-05-01 07:00:00+00:00
101,Government,2008,6,654,3.0,2008-06-01 07:00:00+00:00
102,Government,2008,7,770,3.6,2008-07-01 07:00:00+00:00
103,Government,2008,8,721,3.3,2008-08-01 07:00:00+00:00
104,Government,2008,9,573,2.6,2008-09-01 07:00:00+00:00
105,Government,2008,10,552,2.5,2008-10-01 07:00:00+00:00
106,Government,2008,11,527,2.4,2008-11-01 07:00:00+00:00
107,Government,2008,12,511,2.3,2008-12-01 08:00:00+00:00
108,Government,2009,1,652,3.0,2009-01-01 08:00:00+00:00
109,Government,2009,2,563,2.6,2009-02-01 08:00:00+00:00
110,Government,2009,3,598,2.8,2009-03-01 08:00:00+00:00
111,Government,2009,4,575,2.6,2009-04-01 07:00:00+00:00
112,Government,2009,5,702,3.1,2009-05-01 07:00:00+00:00
113,Government,2009,6,991,4.4,2009-06-01 07:00:00+00:00
114,Government,2009,7,1129,5.1,2009-07-01 07:00:00+00:00
115,Government,2009,8,1118,5.1,2009-08-01 07:00:00+00:00
116,Government,2009,9,928,4.2,2009-09-01 07:00:00+00:00
117,Government,2009,10,785,3.5,2009-10-01 07:00:00+00:00
118,Government,2009,11,748,3.4,2009-11-01 07:00:00+00:00
119,Government,2009,12,797,3.6,2009-12-01 08:00:00+00:00
120,Government,2010,1,948,4.3,2010-01-01 08:00:00+00:00
121,Government,2010,2,880,4.0,2010-02-01 08:00:00+00:00
122,Mining and Extraction,2000,1,19,3.9,2000-01-01 08:00:00+00:00
123,Mining and Extraction,2000,2,25,5.5,2000-02-01 08:00:00+00:00
124,Mining and Extraction,2000,3,17,3.7,2000-03-01 08:00:00+00:00
125,Mining and Extraction,2000,4,20,4.1,2000-04-01 08:00:00+00:00
126,Mining and Extraction,2000,5,27,5.3,2000-05-01 07:00:00+00:00
127,Mining and Extraction,2000,6,13,2.6,2000-06-01 07:00:00+00:00
128,Mining and Extraction,2000,7,16,3.6,2000-07-01 07:00:00+00:00
129,Mining and Extraction,2000,8,23,5.1,2000-08-01 07:00:00+00:00
130,Mining and Extraction,2000,9,25,5.8,2000-09-01 07:00:00+00:00
131,Mining and Extraction,2000,10,39,7.8,2000-10-01 07:00:00+00:00
132,Mining and Extraction,2000,11,11,2.0,2000-11-01 08:00:00+00:00
133,Mining and Extraction,2000,12,20,3.8,2000-12-01 08:00:00+00:00
134,Mining and Extraction,2001,1,11,2.3,2001-01-01 08:00:00+00:00
135,Mining and Extraction,2001,2,27,5.3,2001-02-01 08:00:00+00:00
136,Mining and Extraction,2001,3,14,3.0,2001-03-01 08:00:00+00:00
137,Mining and Extraction,2001,4,24,4.7,2001-04-01 08:00:00+00:00
138,Mining and Extraction,2001,5,34,5.9,2001-05-01 07:00:00+00:00
139,Mining and Extraction,2001,6,26,4.7,2001-06-01 07:00:00+00:00
140,Mining and Extraction,2001,7,17,3.1,2001-07-01 07:00:00+00:00
141,Mining and Extraction,2001,8,18,3.3,2001-08-01 07:00:00+00:00
142,Mining and Extraction,2001,9,23,4.2,2001-09-01 07:00:00+00:00
143,Mining and Extraction,2001,10,32,5.4,2001-10-01 07:00:00+00:00
144,Mining and Extraction,2001,11,20,3.6,2001-11-01 08:00:00+00:00
145,Mining and Extraction,2001,12,27,5.3,2001-12-01 08:00:00+00:00
146,Mining and Extraction,2002,1,33,7.0,2002-01-01 08:00:00+00:00
147,Mining and Extraction,2002,2,35,7.5,2002-02-01 08:00:00+00:00
148,Mining and Extraction,2002,3,28,5.3,2002-03-01 08:00:00+00:00
149,Mining and Extraction,2002,4,33,6.1,2002-04-01 08:00:00+00:00
150,Mining and Extraction,2002,5,25,4.9,2002-05-01 07:00:00+00:00
151,Mining and Extraction,2002,6,35,7.1,2002-06-01 07:00:00+00:00
152,Mining and Extraction,2002,7,19,3.9,2002-07-01 07:00:00+00:00
153,Mining and Extraction,2002,8,32,6.3,2002-08-01 07:00:00+00:00
154,Mining and Extraction,2002,9,42,7.9,2002-09-01 07:00:00+00:00
155,Mining and Extraction,2002,10,36,6.4,2002-10-01 07:00:00+00:00
156,Mining and Extraction,2002,11,32,5.4,2002-11-01 08:00:00+00:00
157,Mining and Extraction,2002,12,45,7.8,2002-12-01 08:00:00+00:00
158,Mining and Extraction,2003,1,54,9.0,2003-01-01 08:00:00+00:00
159,Mining and Extraction,2003,2,41,7.1,2003-02-01 08:00:00+00:00
160,Mining and Extraction,2003,3,46,8.2,2003-03-01 08:00:00+00:00
161,Mining and Extraction,2003,4,41,7.7,2003-04-01 08:00:00+00:00
162,Mining and Extraction,2003,5,40,7.5,2003-05-01 07:00:00+00:00
163,Mining and Extraction,2003,6,36,6.8,2003-06-01 07:00:00+00:00
164,Mining and Extraction,2003,7,43,7.9,2003-07-01 07:00:00+00:00
165,Mining and Extraction,2003,8,20,3.8,2003-08-01 07:00:00+00:00
166,Mining and Extraction,2003,9,25,4.6,2003-09-01 07:00:00+00:00
167,Mining and Extraction,2003,10,31,5.6,2003-10-01 07:00:00+00:00
168,Mining and Extraction,2003,11,34,5.9,2003-11-01 08:00:00+00:00
169,Mining and Extraction,2003,12,32,5.6,2003-12-01 08:00:00+00:00
170,Mining and Extraction,2004,1,31,5.8,2004-01-01 08:00:00+00:00
171,Mining and Extraction,2004,2,24,5.0,2004-02-01 08:00:00+00:00
172,Mining and Extraction,2004,3,22,4.4,2004-03-01 08:00:00+00:00
173,Mining and Extraction,2004,4,34,6.4,2004-04-01 08:00:00+00:00
174,Mining and Extraction,2004,5,22,4.3,2004-05-01 07:00:00+00:00
175,Mining and Extraction,2004,6,27,5.0,2004-06-01 07:00:00+00:00
176,Mining and Extraction,2004,7,28,5.4,2004-07-01 07:00:00+00:00
177,Mining and Extraction,2004,8,10,1.9,2004-08-01 07:00:00+00:00
178,Mining and Extraction,2004,9,8,1.5,2004-09-01 07:00:00+00:00
179,Mining and Extraction,2004,10,15,2.6,2004-10-01 07:00:00+00:00
180,Mining and Extraction,2004,11,20,3.3,2004-11-01 08:00:00+00:00
181,Mining and Extraction,2004,12,16,2.5,2004-12-01 08:00:00+00:00
182,Mining and Extraction,2005,1,29,4.9,2005-01-01 08:00:00+00:00
183,Mining and Extraction,2005,2,25,4.0,2005-02-01 08:00:00+00:00
184,Mining and Extraction,2005,3,32,5.2,2005-03-01 08:00:00+00:00
185,Mining and Extraction,2005,4,19,2.9,2005-04-01 08:00:00+00:00
186,Mining and Extraction,2005,5,16,2.4,2005-05-01 07:00:00+00:00
187,Mining and Extraction,2005,6,25,4.0,2005-06-01 07:00:00+00:00
188,Mining and Extraction,2005,7,22,3.7,2005-07-01 07:00:00+00:00
189,Mining and Extraction,2005,8,12,2.0,2005-08-01 07:00:00+00:00
190,Mining and Extraction,2005,9,12,2.0,2005-09-01 07:00:00+00:00
191,Mining and Extraction,2005,10,2,0.30000000000000004,2005-10-01 07:00:00+00:00
192,Mining and Extraction,2005,11,18,2.9,2005-11-01 08:00:00+00:00
193,Mining and Extraction,2005,12,23,3.5,2005-12-01 08:00:00+00:00
194,Mining and Extraction,2006,1,26,3.9,2006-01-01 08:00:00+00:00
195,Mining and Extraction,2006,2,25,3.8,2006-02-01 08:00:00+00:00
196,Mining and Extraction,2006,3,14,2.1,2006-03-01 08:00:00+00:00
197,Mining and Extraction,2006,4,17,2.5,2006-04-01 08:00:00+00:00
198,Mining and Extraction,2006,5,20,2.8,2006-05-01 07:00:00+00:00
199,Mining and Extraction,2006,6,31,4.3,2006-06-01 07:00:00+00:00
200,Mining and Extraction,2006,7,25,3.5,2006-07-01 07:00:00+00:00
201,Mining and Extraction,2006,8,32,4.3,2006-08-01 07:00:00+00:00
202,Mining and Extraction,2006,9,14,2.1,2006-09-01 07:00:00+00:00
203,Mining and Extraction,2006,10,15,2.2,2006-10-01 07:00:00+00:00
204,Mining and Extraction,2006,11,22,2.9,2006-11-01 08:00:00+00:00
205,Mining and Extraction,2006,12,25,3.4,2006-12-01 08:00:00+00:00
206,Mining and Extraction,2007,1,35,4.7,2007-01-01 08:00:00+00:00
207,Mining and Extraction,2007,2,33,4.5,2007-02-01 08:00:00+00:00
208,Mining and Extraction,2007,3,24,3.2,2007-03-01 08:00:00+00:00
209,Mining and Extraction,2007,4,17,2.3,2007-04-01 07:00:00+00:00
210,Mining and Extraction,2007,5,22,3.0,2007-05-01 07:00:00+00:00
211,Mining and Extraction,2007,6,33,4.3,2007-06-01 07:00:00+00:00
212,Mining and Extraction,2007,7,33,4.3,2007-07-01 07:00:00+00:00
213,Mining and Extraction,2007,8,33,4.6,2007-08-01 07:00:00+00:00
214,Mining and Extraction,2007,9,25,3.2,2007-09-01 07:00:00+00:00
215,Mining and Extraction,2007,10,9,1.3,2007-10-01 07:00:00+00:00
216,Mining and Extraction,2007,11,16,2.3,2007-11-01 07:00:00+00:00
217,Mining and Extraction,2007,12,24,3.4,2007-12-01 08:00:00+00:00
218,Mining and Extraction,2008,1,28,4.0,2008-01-01 08:00:00+00:00
219,Mining and Extraction,2008,2,16,2.2,2008-02-01 08:00:00+00:00
220,Mining and Extraction,2008,3,28,3.7,2008-03-01 08:00:00+00:00
221,Mining and Extraction,2008,4,28,3.6,2008-04-01 07:00:00+00:00
222,Mining and Extraction,2008,5,28,3.4,2008-05-01 07:00:00+00:00
223,Mining and Extraction,2008,6,28,3.3,2008-06-01 07:00:00+00:00
224,Mining and Extraction,2008,7,13,1.5,2008-07-01 07:00:00+00:00
225,Mining and Extraction,2008,8,17,1.9,2008-08-01 07:00:00+00:00
226,Mining and Extraction,2008,9,25,2.8,2008-09-01 07:00:00+00:00
227,Mining and Extraction,2008,10,15,1.7000000000000002,2008-10-01 07:00:00+00:00
228,Mining and Extraction,2008,11,32,3.7,2008-11-01 07:00:00+00:00
229,Mining and Extraction,2008,12,46,5.2,2008-12-01 08:00:00+00:00
230,Mining and Extraction,2009,1,59,7.0,2009-01-01 08:00:00+00:00
231,Mining and Extraction,2009,2,63,7.6,2009-02-01 08:00:00+00:00
232,Mining and Extraction,2009,3,105,12.6,2009-03-01 08:00:00+00:00
233,Mining and Extraction,2009,4,125,16.1,2009-04-01 07:00:00+00:00
234,Mining and Extraction,2009,5,98,13.3,2009-05-01 07:00:00+00:00
235,Mining and Extraction,2009,6,100,13.6,2009-06-01 07:00:00+00:00
236,Mining and Extraction,2009,7,95,12.6,2009-07-01 07:00:00+00:00
237,Mining and Extraction,2009,8,93,11.8,2009-08-01 07:00:00+00:00
238,Mining and Extraction,2009,9,76,10.7,2009-09-01 07:00:00+00:00
239,Mining and Extraction,2009,10,84,10.8,2009-10-01 07:00:00+00:00
240,Mining and Extraction,2009,11,96,12.0,2009-11-01 07:00:00+00:00
241,Mining and Extraction,2009,12,89,11.8,2009-12-01 08:00:00+00:00
242,Mining and Extraction,2010,1,68,9.1,2010-01-01 08:00:00+00:00
243,Mining and Extraction,2010,2,79,10.7,2010-02-01 08:00:00+00:00
244,Construction,2000,1,745,9.7,2000-01-01 08:00:00+00:00
245,Construction,2000,2,812,10.6,2000-02-01 08:00:00+00:00
246,Construction,2000,3,669,8.7,2000-03-01 08:00:00+00:00
247,Construction,2000,4,447,5.8,2000-04-01 08:00:00+00:00
248,Construction,2000,5,397,5.0,2000-05-01 07:00:00+00:00
249,Construction,2000,6,389,4.6,2000-06-01 07:00:00+00:00
250,Construction,2000,7,384,4.4,2000-07-01 07:00:00+00:00
251,Construction,2000,8,446,5.1,2000-08-01 07:00:00+00:00
252,Construction,2000,9,386,4.6,2000-09-01 07:00:00+00:00
253,Construction,2000,10,417,4.9,2000-10-01 07:00:00+00:00
254,Construction,2000,11,482,5.7,2000-11-01 08:00:00+00:00
255,Construction,2000,12,580,6.8,2000-12-01 08:00:00+00:00
256,Construction,2001,1,836,9.8,2001-01-01 08:00:00+00:00
257,Construction,2001,2,826,9.9,2001-02-01 08:00:00+00:00
258,Construction,2001,3,683,8.4,2001-03-01 08:00:00+00:00
259,Construction,2001,4,596,7.1,2001-04-01 08:00:00+00:00
260,Construction,2001,5,478,5.6,2001-05-01 07:00:00+00:00
261,Construction,2001,6,443,5.1,2001-06-01 07:00:00+00:00
262,Construction,2001,7,447,4.9,2001-07-01 07:00:00+00:00
263,Construction,2001,8,522,5.8,2001-08-01 07:00:00+00:00
264,Construction,2001,9,489,5.5,2001-09-01 07:00:00+00:00
265,Construction,2001,10,535,6.1,2001-10-01 07:00:00+00:00
266,Construction,2001,11,670,7.6,2001-11-01 08:00:00+00:00
267,Construction,2001,12,785,9.0,2001-12-01 08:00:00+00:00
268,Construction,2002,1,1211,13.6,2002-01-01 08:00:00+00:00
269,Construction,2002,2,1060,12.2,2002-02-01 08:00:00+00:00
270,Construction,2002,3,1009,11.8,2002-03-01 08:00:00+00:00
271,Construction,2002,4,855,10.1,2002-04-01 08:00:00+00:00
272,Construction,2002,5,626,7.4,2002-05-01 07:00:00+00:00
273,Construction,2002,6,593,6.9,2002-06-01 07:00:00+00:00
274,Construction,2002,7,594,6.9,2002-07-01 07:00:00+00:00
275,Construction,2002,8,654,7.4,2002-08-01 07:00:00+00:00
276,Construction,2002,9,615,7.0,2002-09-01 07:00:00+00:00
277,Construction,2002,10,680,7.7,2002-10-01 07:00:00+00:00
278,Construction,2002,11,758,8.5,2002-11-01 08:00:00+00:00
279,Construction,2002,12,941,10.9,2002-12-01 08:00:00+00:00
280,Construction,2003,1,1196,14.0,2003-01-01 08:00:00+00:00
281,Construction,2003,2,1173,14.0,2003-02-01 08:00:00+00:00
282,Construction,2003,3,987,11.8,2003-03-01 08:00:00+00:00
283,Construction,2003,4,772,9.3,2003-04-01 08:00:00+00:00
284,Construction,2003,5,715,8.4,2003-05-01 07:00:00+00:00
285,Construction,2003,6,710,7.9,2003-06-01 07:00:00+00:00
286,Construction,2003,7,677,7.5,2003-07-01 07:00:00+00:00
287,Construction,2003,8,650,7.1,2003-08-01 07:00:00+00:00
288,Construction,2003,9,681,7.6,2003-09-01 07:00:00+00:00
289,Construction,2003,10,651,7.4,2003-10-01 07:00:00+00:00
290,Construction,2003,11,690,7.8,2003-11-01 08:00:00+00:00
291,Construction,2003,12,813,9.3,2003-12-01 08:00:00+00:00
292,Construction,2004,1,994,11.3,2004-01-01 08:00:00+00:00
293,Construction,2004,2,1039,11.6,2004-02-01 08:00:00+00:00
294,Construction,2004,3,1011,11.3,2004-03-01 08:00:00+00:00
295,Construction,2004,4,849,9.5,2004-04-01 08:00:00+00:00
296,Construction,2004,5,665,7.4,2004-05-01 07:00:00+00:00
297,Construction,2004,6,668,7.0,2004-06-01 07:00:00+00:00
298,Construction,2004,7,610,6.4,2004-07-01 07:00:00+00:00
299,Construction,2004,8,563,6.0,2004-08-01 07:00:00+00:00
300,Construction,2004,9,629,6.8,2004-09-01 07:00:00+00:00
301,Construction,2004,10,635,6.9,2004-10-01 07:00:00+00:00
302,Construction,2004,11,695,7.4,2004-11-01 08:00:00+00:00
303,Construction,2004,12,870,9.5,2004-12-01 08:00:00+00:00
304,Construction,2005,1,1079,11.8,2005-01-01 08:00:00+00:00
305,Construction,2005,2,1150,12.3,2005-02-01 08:00:00+00:00
306,Construction,2005,3,961,10.3,2005-03-01 08:00:00+00:00
307,Construction,2005,4,693,7.4,2005-04-01 08:00:00+00:00
308,Construction,2005,5,567,6.1,2005-05-01 07:00:00+00:00
309,Construction,2005,6,559,5.7,2005-06-01 07:00:00+00:00
310,Construction,2005,7,509,5.2,2005-07-01 07:00:00+00:00
311,Construction,2005,8,561,5.7,2005-08-01 07:00:00+00:00
312,Construction,2005,9,572,5.7,2005-09-01 07:00:00+00:00
313,Construction,2005,10,519,5.3,2005-10-01 07:00:00+00:00
314,Construction,2005,11,564,5.7,2005-11-01 08:00:00+00:00
315,Construction,2005,12,813,8.2,2005-12-01 08:00:00+00:00
316,Construction,2006,1,868,9.0,2006-01-01 08:00:00+00:00
317,Construction,2006,2,836,8.6,2006-02-01 08:00:00+00:00
318,Construction,2006,3,820,8.5,2006-03-01 08:00:00+00:00
319,Construction,2006,4,674,6.9,2006-04-01 08:00:00+00:00
320,Construction,2006,5,647,6.6,2006-05-01 07:00:00+00:00
321,Construction,2006,6,569,5.6,2006-06-01 07:00:00+00:00
322,Construction,2006,7,633,6.1,2006-07-01 07:00:00+00:00
323,Construction,2006,8,618,5.9,2006-08-01 07:00:00+00:00
324,Construction,2006,9,586,5.6,2006-09-01 07:00:00+00:00
325,Construction,2006,10,456,4.5,2006-10-01 07:00:00+00:00
326,Construction,2006,11,618,6.0,2006-11-01 08:00:00+00:00
327,Construction,2006,12,725,6.9,2006-12-01 08:00:00+00:00
328,Construction,2007,1,922,8.9,2007-01-01 08:00:00+00:00
329,Construction,2007,2,1086,10.5,2007-02-01 08:00:00+00:00
330,Construction,2007,3,924,9.0,2007-03-01 08:00:00+00:00
331,Construction,2007,4,853,8.6,2007-04-01 07:00:00+00:00
332,Construction,2007,5,676,6.9,2007-05-01 07:00:00+00:00
333,Construction,2007,6,600,5.9,2007-06-01 07:00:00+00:00
334,Construction,2007,7,617,5.9,2007-07-01 07:00:00+00:00
335,Construction,2007,8,558,5.3,2007-08-01 07:00:00+00:00
336,Construction,2007,9,596,5.8,2007-09-01 07:00:00+00:00
337,Construction,2007,10,641,6.1,2007-10-01 07:00:00+00:00
338,Construction,2007,11,645,6.2,2007-11-01 07:00:00+00:00
339,Construction,2007,12,968,9.4,2007-12-01 08:00:00+00:00
340,Construction,2008,1,1099,11.0,2008-01-01 08:00:00+00:00
341,Construction,2008,2,1118,11.4,2008-02-01 08:00:00+00:00
342,Construction,2008,3,1170,12.0,2008-03-01 08:00:00+00:00
343,Construction,2008,4,1057,11.1,2008-04-01 07:00:00+00:00
344,Construction,2008,5,809,8.6,2008-05-01 07:00:00+00:00
345,Construction,2008,6,785,8.2,2008-06-01 07:00:00+00:00
346,Construction,2008,7,783,8.0,2008-07-01 07:00:00+00:00
347,Construction,2008,8,814,8.2,2008-08-01 07:00:00+00:00
348,Construction,2008,9,970,9.9,2008-09-01 07:00:00+00:00
349,Construction,2008,10,1078,10.8,2008-10-01 07:00:00+00:00
350,Construction,2008,11,1237,12.7,2008-11-01 07:00:00+00:00
351,Construction,2008,12,1438,15.3,2008-12-01 08:00:00+00:00
352,Construction,2009,1,1744,18.2,2009-01-01 08:00:00+00:00
353,Construction,2009,2,2025,21.4,2009-02-01 08:00:00+00:00
354,Construction,2009,3,1979,21.1,2009-03-01 08:00:00+00:00
355,Construction,2009,4,1737,18.7,2009-04-01 07:00:00+00:00
356,Construction,2009,5,1768,19.2,2009-05-01 07:00:00+00:00
357,Construction,2009,6,1601,17.4,2009-06-01 07:00:00+00:00
358,Construction,2009,7,1687,18.2,2009-07-01 07:00:00+00:00
359,Construction,2009,8,1542,16.5,2009-08-01 07:00:00+00:00
360,Construction,2009,9,1594,17.1,2009-09-01 07:00:00+00:00
361,Construction,2009,10,1744,18.7,2009-10-01 07:00:00+00:00
362,Construction,2009,11,1780,19.4,2009-11-01 07:00:00+00:00
363,Construction,2009,12,2044,22.7,2009-12-01 08:00:00+00:00
364,Construction,2010,1,2194,24.7,2010-01-01 08:00:00+00:00
365,Construction,2010,2,2440,27.1,2010-02-01 08:00:00+00:00
366,Manufacturing,2000,1,734,3.6,2000-01-01 08:00:00+00:00
367,Manufacturing,2000,2,694,3.4,2000-02-01 08:00:00+00:00
368,Manufacturing,2000,3,739,3.6,2000-03-01 08:00:00+00:00
369,Manufacturing,2000,4,736,3.7,2000-04-01 08:00:00+00:00
370,Manufacturing,2000,5,685,3.4,2000-05-01 07:00:00+00:00
371,Manufacturing,2000,6,621,3.1,2000-06-01 07:00:00+00:00
372,Manufacturing,2000,7,708,3.6,2000-07-01 07:00:00+00:00
373,Manufacturing,2000,8,685,3.4,2000-08-01 07:00:00+00:00
374,Manufacturing,2000,9,667,3.4,2000-09-01 07:00:00+00:00
375,Manufacturing,2000,10,693,3.6,2000-10-01 07:00:00+00:00
376,Manufacturing,2000,11,672,3.4,2000-11-01 08:00:00+00:00
377,Manufacturing,2000,12,653,3.3,2000-12-01 08:00:00+00:00
378,Manufacturing,2001,1,911,4.6,2001-01-01 08:00:00+00:00
379,Manufacturing,2001,2,902,4.6,2001-02-01 08:00:00+00:00
380,Manufacturing,2001,3,954,4.9,2001-03-01 08:00:00+00:00
381,Manufacturing,2001,4,855,4.4,2001-04-01 08:00:00+00:00
382,Manufacturing,2001,5,903,4.7,2001-05-01 07:00:00+00:00
383,Manufacturing,2001,6,956,5.0,2001-06-01 07:00:00+00:00
384,Manufacturing,2001,7,1054,5.6,2001-07-01 07:00:00+00:00
385,Manufacturing,2001,8,1023,5.5,2001-08-01 07:00:00+00:00
386,Manufacturing,2001,9,996,5.4,2001-09-01 07:00:00+00:00
387,Manufacturing,2001,10,1065,5.8,2001-10-01 07:00:00+00:00
388,Manufacturing,2001,11,1108,6.0,2001-11-01 08:00:00+00:00
389,Manufacturing,2001,12,1172,6.3,2001-12-01 08:00:00+00:00
390,Manufacturing,2002,1,1377,7.4,2002-01-01 08:00:00+00:00
391,Manufacturing,2002,2,1296,7.0,2002-02-01 08:00:00+00:00
